,pairID,Flickr30kID,hypothesis,gold_label,explanation
7827,2597958208.jpg#3r1c,2597958208.jpg,The children are inside a bedroom.,contradiction,Children cannot be outside in a field and inside a bedroom at the same time.
11945,2597958208.jpg#1r1n,2597958208.jpg,Two children play in the field.,neutral,Two children are walking in a field but we cannot tell for sure if they are just walking or playing.
6290,4734162520.jpg#1r1e,4734162520.jpg,A police officer is on a motorcycle.,entailment,a police officer on his motorcycle means he is on a motorcycle
9344,4734162520.jpg#0r1c,4734162520.jpg,a man impersonating a police officer flies with a jetpack,contradiction,Someone impersonating a police officer is not truly a police officer.
11018,4734162520.jpg#1r1n,4734162520.jpg,A police officer is about to write a ticket.,neutral,the police officer is standing in the picture but doing something which might not be writting a ticket
6770,4447160600.jpg#0r1e,4447160600.jpg,The uniformed person looks at some notes while leaning against a wall.,entailment,Uninformed person is an officer.
6773,4447160600.jpg#1r1c,4447160600.jpg,Police officers in disguise wait alone outside the catholic church.,contradiction,Uniformed and in disguise are different.
12723,4447160600.jpg#1r1n,4447160600.jpg,"Policemen guard the church, where a murder just took place.",neutral,"we cant assure that Policemen guard the church, where a murder just took place."
612,44619131.jpg#4r1e,44619131.jpg,The people are using computers.,entailment,"When saying laptops, it is implied that they are on computers. The people are implied by three men and a woman, anytime you have more than one person it is considered people."
611,44619131.jpg#4r1c,44619131.jpg,The people are using typewriters.,contradiction,They cannot be using laptops and typewriters simultaneously
12726,44619131.jpg#3r1n,44619131.jpg,The people are filling out job applications.,neutral,The people are probably filling out the job application probably their not.
4761,2645724661.jpg#2r1e,2645724661.jpg,A woman is sipping wine.,entailment,Sipping is a form of drinking.
4760,2645724661.jpg#3r1c,2645724661.jpg,A father watches his child play outside.,contradiction,"A father is nto a woman, it has to be a man."
12526,2645724661.jpg#1r1n,2645724661.jpg,The infant's mother is reading.,neutral,No way to tell whether she is a mother.
260,5501340599.jpg#2r1e,5501340599.jpg,A girl is washing her stuffed animal.,entailment,If the girl is giving a stuffed animal a bat then she is washing her stuffed animal.
259,5501340599.jpg#2r1c,5501340599.jpg,A girl is playing video games.,contradiction,You cannot play video games while doing anything in a sink.
263,5501340599.jpg#1r1n,5501340599.jpg,A girl is cleaning her stuffed bear.,neutral,Not all stuffed animals are a bear.
2231,4964794183.jpg#2r1e,4964794183.jpg,A man in a crowd drinks something purple.,entailment,A man in a crowd drinks something purple is part of his overall activity on a crowded street.
8033,4964794183.jpg#3r1c,4964794183.jpg,A lot of people are sitting in a restaurant.,contradiction,One cannot walk while sitting.  A crowded street is not located in a restaurant.
11041,4964794183.jpg#3r1n,4964794183.jpg,A lot of people are walking in a parade.,neutral,"While everyone is walking, there is nothing in the picture to confirm that they are in a parade."
5395,4944644486.jpg#4r1e,4944644486.jpg,A group of people are in a line.,entailment,People in a line implies they are lined up.
11641,4944644486.jpg#1r1n,4944644486.jpg,These guys and girls are at Disney.,contradiction,no evidence that shows they are at Disney
14047,4944644486.jpg#1r3n,4944644486.jpg,tourists on vacation.,neutral,"It is unclear whether these people are tourists or not, and if they are on vacation is unclear."
9581,7330749240.jpg#0r1e,7330749240.jpg,Race cars,entailment,Indy car implies race cars.
984,7330749240.jpg#3r1c,7330749240.jpg,The trucks are racing around the track.,contradiction,Cars and trucks are not the same thing.
10814,7330749240.jpg#0r1n,7330749240.jpg,A driver passing his opponent on the last lap,neutral,The picture does not make it clear when in the race this is taking place.  We do not know if he is passing the other car or if he has been in the lead or if this is the last lap or not.
5544,3562816250.jpg#0r1e,3562816250.jpg,The man has a dog,entailment,''A man with a black dog '' is  a reword of '' the man has  a dog.''
12556,3562816250.jpg#1r1n,3562816250.jpg,The dog is scared.,contradiction,"While there is a dog in the photo, one can clearly see their ears are up more than pinned to indicate a feeling of being scared."
14254,3562816250.jpg#4r1n,3562816250.jpg,A young woman kayaking in the ocean.,neutral,"A woman is kayaking, but it is not certain whether she is in the ocean or another body of water."
5453,3125628091.jpg#1r1e,3125628091.jpg,The boy is on the couch.,entailment,boy snuggles on a couch simply means he is on the couch
14138,3125628091.jpg#3r1n,3125628091.jpg,The child is opening Christmas presents.,contradiction,"While the child is dressed as if it is the Christmas season, there are no presents in the picture for him to open."
10970,3125628091.jpg#0r1n,3125628091.jpg,a small boy laying down for a nap,neutral,a small boy is laying but you cant tell if he Is going to nap or not.
2038,3469609037.jpg#2r1e,3469609037.jpg,A skateboarder is in the air.,entailment,To be midair is to be in the air.
2036,3469609037.jpg#3r1c,3469609037.jpg,Nobody is skateboarding at the skate park right now.,contradiction,"If the body is at a skate park, it means that it isn't true that nobody is at the skate park."
13016,3469609037.jpg#4r1n,3469609037.jpg,The kid is in a skateboarding competition.,neutral,This may not be a competition.
1507,2922807898.jpg#2r1e,2922807898.jpg,A large yellow dog jumps up to catch a toy.,entailment,A Frisbee is a toy that dogs will jump after.
1506,2922807898.jpg#2r1c,2922807898.jpg,A small white dog sleeps in its owner's lap.,contradiction,The subject is either a small white dog who sleeps or a large yellow dog who leaps.
1511,2922807898.jpg#0r1n,2922807898.jpg,"The white, pitbull puppy caught the pink floppy Frisbee in its mouth after jumping with all four feet from the ground.",neutral,That the animal is a dog does not necessarily mean it is a puppy.
1253,3135826945.jpg#3r1e,3135826945.jpg,A person and small child have a book.,entailment,Having and reading are different kind of action
1252,3135826945.jpg#3r1c,3135826945.jpg,Two people are watching tv.,contradiction,Watching TV is not reading.
13428,3135826945.jpg#2r1n,3135826945.jpg,A mother explains where babies come from to her son.,neutral,The person in this shot could be a mother that explains where babies come from to her son but it is not clear from the simple pictures in the book if that is what it entails.
7149,1053116826.jpg#0r2e,1053116826.jpg,Two children are outside.,entailment,The grass is found outside.
7155,1053116826.jpg#3r1c,1053116826.jpg,Two children are playing tag in the park,contradiction,You do not sit on grass while playing tag.
14022,1053116826.jpg#0r5n,1053116826.jpg,A brother and sister are playing in the grass.,neutral,There is no way to conclude that the children are brother and sister based upon this picture alone.
936,2384401298.jpg#3r1e,2384401298.jpg,The animal is running near the water.,entailment,The dog is an animal. If it is by the water's edge it is near the water.
2464,2384401298.jpg#4r1c,2384401298.jpg,Two cats play next to the water.,contradiction,Dogs cannot also be cats
11416,2384401298.jpg#4r1n,2384401298.jpg,The dogs are about to jump in the lake.,neutral,It is possible that the dogs will jump to the lake
3741,410422753.jpg#2r1e,410422753.jpg,The dog is playing outside.,entailment,The dog is enjoying the outside weather.
2291,410422753.jpg#0r1c,410422753.jpg,Nothing is running.,contradiction,"Black and brown dog is not nothing that is running,"
10445,410422753.jpg#0r1n,410422753.jpg,A huge animal running.,neutral,"Although the photo makes the animal seem huge, the animal may be smaller than what we think."
12423,3367399.jpg#0r1n,3367399.jpg,A man is refuelling his car.,entailment,yes A man is refueling his car.
5360,3367399.jpg#2r1c,3367399.jpg,The man pours gasoline on the tree.,contradiction,"If the man is filling a car with gasoline, he is not pouring it on a tree."
11795,3367399.jpg#2r1n,3367399.jpg,The man is putting a gallon of gasoline in his car.,neutral,"The man is putting gasoline in his car, but impossible to see which quantity"
2405,4689487867.jpg#0r1e,4689487867.jpg,The man in the vest and sunglasses looking at cards at the stand has buttons on his hat.,entailment,The man is looking at cards at an outdoor stand.
5026,4689487867.jpg#2r1c,4689487867.jpg,House robber trying to sell his wares.,contradiction,One can be either looking at items displayed or trying to sell.
13964,4689487867.jpg#1r1n,4689487867.jpg,A man shopping for groceries wearing a black vest and maroon shirt,neutral,We cant assure that  A man shopping for groceries wearing a black vest and maroon shirt
1421,86112875.jpg#3r1e,86112875.jpg,A person is indoors.,entailment,a woman is the person.
616,86112875.jpg#1r1c,86112875.jpg,One man works at a table with cigar tubes,contradiction,The man can't be women.
13775,86112875.jpg#4r1n,86112875.jpg,A mother and her sister work on a wooden swingset.,neutral,Their relationship may be of mother and her sister or they may not be related at all.
4217,6420396169.jpg#2r1e,6420396169.jpg,A boy is indoors.,entailment,One normally gets a haircut inside.
4218,6420396169.jpg#2r1c,6420396169.jpg,A boy is swimming in a lake.,contradiction,The boys cannot get a haircut while swimming.
8381,6420396169.jpg#0r1n,6420396169.jpg,A small boy dislikes the candy.,neutral,Enjoys does not imply dislikes.
9085,4465093007.jpg#1r1e,4465093007.jpg,a man can shout,entailment,Man can shout indicates his ability to shout out.
8222,4465093007.jpg#4r1c,4465093007.jpg,The man is upset at the game.,contradiction,A person cannot be cheering and being upset at the same time.
12480,4465093007.jpg#1r1n,4465093007.jpg,a man is excited that is is winning the scrabble game,neutral,"The man is clearly excited, but we are unsure if it is because he is winning a scrabble game."
7391,7129695767.jpg#2r1e,7129695767.jpg,A man is climbing a mountain.,entailment,That a man is suspended as he climbs implies that is climbing a mountain currently.
7393,7129695767.jpg#1r1c,7129695767.jpg,The weather is cloudy and raining,contradiction,They weather can't be both sun and clouds and clouds and rain.
13118,7129695767.jpg#3r1n,7129695767.jpg,A woman climbs up a cliff after falling.,neutral,a woman falling on the cliff.
2106,4024098174.jpg#1r1e,4024098174.jpg,This man is wearing safety gear while skiing.,entailment,A helmet is a type of safety gear.
7977,4024098174.jpg#0r1c,4024098174.jpg,A person sits in a sauna.,contradiction,One cannot be skiing while he sits in a sauna.
2107,4024098174.jpg#1r1c,4024098174.jpg,A black man on a ski slope!,neutral,Not all men who wear black are black
8793,6927848734.jpg#1r1e,6927848734.jpg,A man is driving from on location to another.,entailment,Both subjects are driving
8792,6927848734.jpg#1r1c,6927848734.jpg,A man isdriving a left hand drive car.,contradiction,right is contradictory to left
13250,6927848734.jpg#0r1n,6927848734.jpg,The man is a cab driver just finishing his shift as darkness falls on London.,neutral,"It is not possible to know if the man is a taxi driver and, much less, if his shift has just finished."
9897,3307563498.jpg#0r1n,3307563498.jpg,The child is climbing a chain bridge.,entailment,"yes,The child is climbing a chain bridge."
3961,3307563498.jpg#0r1c,3307563498.jpg,The child is walking on hot coals.,contradiction,One is either climbing over a chain or walking on hot coals.
14606,3307563498.jpg#1r1n,3307563498.jpg,A child is climbing over a chain to row a boat.,neutral,"The child is climbing over a chain, but there is no indication that they plan to row a boat, nor is a boat shown."
5540,3724946689.jpg#2r1e,3724946689.jpg,Some people are riding on a pirate ship.,entailment,''A crowd of people enjoy '' is  a reword of '': Some people are riding''
5539,3724946689.jpg#4r1c,3724946689.jpg,A group of old men enjoy a fair ride.,contradiction,"Either the group is of young people, or old men"
12886,3724946689.jpg#0r1n,3724946689.jpg,field trip to disneyland,neutral,"It shows people riding on an attraction from a park, but it could be any park other than Disneyland."
4817,5138003138.jpg#0r1e,5138003138.jpg,A woman is playing volleyball,entailment,Woman in both.
11395,5138003138.jpg#3r1n,5138003138.jpg,the girls is five,contradiction,There are more than one girl and clearly their physical coordination and appearance states that they are not five.
12786,5138003138.jpg#4r1n,5138003138.jpg,The girl wins the game for her team.,neutral,We cant assure that  The girl wins the game for her team.
9271,558338473.jpg#4r1e,558338473.jpg,Two men are doing martial arts.,entailment,Doing martial arts is a form of practicing martial arts.
2261,558338473.jpg#1r1c,558338473.jpg,Two men wearing green jumpsuits watch television,contradiction,"The men are wearing black clothing , not green jumpsuits .  The men are practicing karate moves not watching television."
14108,558338473.jpg#0r1n,558338473.jpg,They are great at sports.,neutral,These people may be great but there is nothing to prove their skill level in sports.
3973,3399944164.jpg#1r1e,3399944164.jpg,The people are taking pictures.,entailment,people taking pictures is same as people are taking pictures
3972,3399944164.jpg#0r1c,3399944164.jpg,The man and woman are raking leaves.,contradiction,"raking leaves are done when standing up not when one lays down, and a raking leaves is not taking a picture."
14556,3399944164.jpg#1r1n,3399944164.jpg,The couple is taking provocative photos.,neutral,The Couple are taking individual photos of themselves.
9221,6839984356.jpg#1r1e,6839984356.jpg,An Asian person is holding a skateboard.,entailment,A person with a skateboard on his lap is holding a skateboard.
9223,6839984356.jpg#2r1c,6839984356.jpg,The man is 92,contradiction,A man 92 years old is not a youth.
12560,6839984356.jpg#3r1n,6839984356.jpg,A young asian hurt himself skateboarding.,neutral,"Young asian skateboarding, but no indication that he's hurt."
1296,2646540383.jpg#2r1e,2646540383.jpg,The boy is near water.,entailment,The boy needs to be near water if he is going down the water slide.
1300,2646540383.jpg#0r1c,2646540383.jpg,The boy's swimsuit is red.,contradiction,A boy is wearing a blue swimsuit which is not red in color.
10551,2646540383.jpg#1r1n,2646540383.jpg,the person is having fun,neutral,this is a person but we cannot assume he having fun
6347,4940658755.jpg#4r1e,4940658755.jpg,There is an elderly person in front of a store.,entailment,shop and store have the same meaning
6339,4940658755.jpg#1r1c,4940658755.jpg,A bald man stands next to some rocks.,contradiction,An older man with gray hair is different to a bald man.
14575,4940658755.jpg#4r1n,4940658755.jpg,An elderly man is waiting for the store to open.,neutral,"An elderly man is standing in front of a store; however, he could be waiting for someone to pick him up."
10869,4770473055.jpg#4r1n,4770473055.jpg,He is wearing a uniform,entailment,The man is wearing a uniform
7020,4770473055.jpg#0r3c,4770473055.jpg,The man is holding a saxophone.,contradiction,wearing black shaggy and holding saxophone are not same.
9927,4770473055.jpg#3r1n,4770473055.jpg,A man is performing in a parade,neutral,There is a man performing but he may not be in a parade
12554,2602279427.jpg#4r1n,2602279427.jpg,A person is walking,entailment,"Several people, including a young woman wearing an apron, are walking at night."
2565,2602279427.jpg#3r1c,2602279427.jpg,A dog plays with a pig in some mud.,contradiction,An oriental girl is different from a dog
10161,2602279427.jpg#2r1n,2602279427.jpg,A woman is cooking in a yellow apron while watching her children sit down at the table.,neutral,we cant assure that A woman is cooking in a yellow apron while watching her children sit down at the table.
13829,1733853950.jpg#2r1n,1733853950.jpg,Some people are outside.,entailment,"yes,Some people are outside."
1622,1733853950.jpg#3r1c,1733853950.jpg,A couple are walking through the park.,contradiction,People who are entering a building are going from the outside to the inside while people who are walking through a park are outside and will likely remain outside throughout their walk.
10839,1733853950.jpg#0r1n,1733853950.jpg,men doing business deal,neutral,"Even though these two men are dressed in business-like attire, they could be doing anything."
14164,2335428699.jpg#2r3n,2335428699.jpg,Four children are bouncing together on a trampoline.,entailment,The picture shows four children playing together and jumping on a trampoline
2995,2335428699.jpg#0r1c,2335428699.jpg,Kids are playing baseball.,contradiction,Playing baseball is different from jumping on trampoline.
11353,2335428699.jpg#3r1n,2335428699.jpg,Children are excited to play after a long snowstorm finally ends.,neutral,the children look excited and are playing on a trampoline wearing winter clothing. in the background there is snow on the ground but it unclear if there was snowstorm.
1139,2908493594.jpg#2r1e,2908493594.jpg,The person is sprawled on the park bench.,entailment,a man lying tells the meaning of the word sprawled
1138,2908493594.jpg#2r1c,2908493594.jpg,The man is playing Frisbee in the park.,contradiction,He is likely not lying on a bench and playing frisbee at the same time.
12232,2908493594.jpg#1r1n,2908493594.jpg,A person sleeping after a long night of partying,neutral,we cant assure that A person sleeping after a long night of partying
9323,4726677489.jpg#0r1e,4726677489.jpg,Three people are walking together.,entailment,"Three people refers to the man, the female, and the older woman."
6014,4726677489.jpg#3r1c,4726677489.jpg,People are sitting down.,contradiction,One cannot be walking down and sitting down simultaneously.
11017,4726677489.jpg#4r1n,4726677489.jpg,People walking to a parade.,neutral,I can see people walking but not sure its a parade.
8374,3597715122.jpg#3r1e,3597715122.jpg,A group waits in line.,entailment,people usually waits in stand
8375,3597715122.jpg#3r1c,3597715122.jpg,A group cuts through the line and robs a ice cream stand.,contradiction,Waiting and robs are different.
9682,3597715122.jpg#1r1n,3597715122.jpg,people were outside the store on tuesday,neutral,Even tough some people are outside a store it could be any other day than Tuesday
4140,3050606344.jpg#4r2e,3050606344.jpg,A man is outside.,entailment,To kayak in rough water you must be outside.
4147,3050606344.jpg#0r1c,3050606344.jpg,The man is kayaking on a calm river.,contradiction,The rapids are by definition not calm.
4141,3050606344.jpg#4r2n,3050606344.jpg,A man is riding in a small boat on a lake.,neutral,Not all rough water is found in a lake.
5110,455714074.jpg#3r1e,455714074.jpg,A family is eating dinner.,entailment,is dining can be replaced by is eating.
7026,455714074.jpg#1r1c,455714074.jpg,The people are driving home from work.,contradiction,People eating food while watching television cannot be the people driving home from work.
12643,455714074.jpg#4r1n,455714074.jpg,A family is having breakfast together.,neutral,no way to tell if they are eating breakfast.
3843,3024022266.jpg#2r1e,3024022266.jpg,A kid rides some waves on a nice day,entailment,A young boy could be a kid.  Waves could be of blue water.
1883,3024022266.jpg#4r2c,3024022266.jpg,the boy is on the moon,contradiction,It is not possible to surf as it requires water and there is not a body of water on the moon.
10706,3024022266.jpg#1r1n,3024022266.jpg,A young guy on vacation.,neutral,There is no proof they are on vacation.
10302,2298661279.jpg#1r1n,2298661279.jpg,A child was outside.,entailment,The child is outside.
7561,2298661279.jpg#0r1c,2298661279.jpg,The boy is getting on a plane,contradiction,One cannot get ready to slide down a metal slide as they are getting on a plane.
11251,2298661279.jpg#0r1n,2298661279.jpg,The pants are comfortable,neutral,This boy is about to go down a slide. I cannot tell if he believes his pants are comfortable from this photo.
687,7249187716.jpg#2r1e,7249187716.jpg,The man crashed into the water.,entailment,crashing into the water is inferred as  crashed into the water.
12992,7249187716.jpg#0r1n,7249187716.jpg,Some people are swimming in a pool.,contradiction,"People in wet suits are entering and just starting to swim in what appears to be an outdoor body of water, not a pool."
688,7249187716.jpg#2r1n,7249187716.jpg,The man crashed into the water at the start of the race.,neutral,Just because someone is crashing into water doesn't mean that it is the start of the race.
5066,2955099064.jpg#1r1e,2955099064.jpg,three men looking at a football,entailment,react is a form of looking.
10396,2955099064.jpg#0r1n,2955099064.jpg,Three basketball players try to catch the ball during a game.,contradiction,Three football players try to catch the ball during a game.
11165,2955099064.jpg#3r1n,2955099064.jpg,The men hate each other,neutral,We cant assure the men hate each other
14637,4320494335.jpg#3r1n,4320494335.jpg,A woman pushes her child in a stroller,entailment,The woman is pushing a child that is in a stroller.
1550,4320494335.jpg#0r1c,4320494335.jpg,The couple are in an industrial area.,contradiction,The couple can't be in both an industrial area and a residential area at the same time
13393,4320494335.jpg#2r1n,4320494335.jpg,A couple is with their baby going to a store.,neutral,There is a couple but we dont know if they are going to the store
4432,3368569524.jpg#3r1e,3368569524.jpg,Girls are playing a game.,entailment,Girls are playing basketball game in front of crowd
4433,3368569524.jpg#3r1c,3368569524.jpg,Girls are playing football.,contradiction,Ones can be playing either basketball or football.
4437,3368569524.jpg#1r1n,3368569524.jpg,A WNBA game in progress.,neutral,Not all female basketball players are in the WNBA.
12930,1011572216.jpg#3r1n,1011572216.jpg,The couple stood together for the picture.,entailment,The couple looks like they stood together for the picture.
788,1011572216.jpg#0r1c,1011572216.jpg,A married couple is eating their first pieces of cake.,contradiction,"While eating cake, a couple isn't walking at the same time."
10577,1011572216.jpg#1r1n,1011572216.jpg,Newlyweds walk down the sidewalk from the church.,neutral,"They appear to be newlyweds and are on a sidewalk, but we cannot tell they are leaving a church."
532,2980901328.jpg#4r1e,2980901328.jpg,The worker fixes the window.,entailment,'a construction worker' is considered to be 'worker'
2688,2980901328.jpg#0r1c,2980901328.jpg,The repairman is driving away in his white van.,contradiction,One can't be trying to repair a pole and driving away at the same time.
534,2980901328.jpg#1r1n,2980901328.jpg,The man is strong,neutral,Just because the man is holding onto a wooden sign it doesn't mean he's strong.
7617,91251257.jpg#2r1e,91251257.jpg,The pot is outside.,entailment,By the water means that the lady is outside.
7615,91251257.jpg#1r1c,91251257.jpg,an asian woman is sleeping on the dock of her house,contradiction,"The woman is either kneeling or sleeping, but not both."
14519,91251257.jpg#0r1n,91251257.jpg,The tourist director works near the water.,neutral,She is near the water working but is she the tourist director or just a woman working.
3341,378453580.jpg#2r1e,378453580.jpg,a dog is jumping,entailment,Both dogs are jumping
14511,378453580.jpg#4r1n,378453580.jpg,A dog jumps in the rain.,contradiction,is not rain
9899,378453580.jpg#2r1n,378453580.jpg,the dog is out for a walk with it's owner,neutral,"There is a dog that appears to be on a walk, however there is no visible owner in the frame."
3687,305979887.jpg#1r1e,305979887.jpg,Her husband drinks.,entailment,The woman thinking of ways to get away from her drinking husband implies that her husband drinks.
3686,305979887.jpg#1r1c,305979887.jpg,Her husband is sober and can poop out gold.,contradiction,Her husband is either drinking or sober.
10550,305979887.jpg#4r1n,305979887.jpg,The woman sits on the park picnic table near the stroller while her child plays.,neutral,"While the woman is sitting near a stroller at a park picnic table, it is not clear if her child is playing."
7346,3727740053.jpg#4r1e,3727740053.jpg,People are competing in a match.,entailment,Martial artists are a type of people.
7345,3727740053.jpg#4r1c,3727740053.jpg,Two swimmers compete in a diving match.,contradiction,It's either martial or swimmers.
11240,3727740053.jpg#1r1n,3727740053.jpg,There are people kicking each other because they are mad,neutral,"The people fighting could be kicking each other because they are mad, or they could be simply engaged in a professional kickboxing match."
7591,3508522093.jpg#4r1e,3508522093.jpg,the boy is outside,entailment,A little boy is a boy.
9395,3508522093.jpg#0r1c,3508522093.jpg,The leaves are green.,contradiction,The green leaves contradicts the pile of brown leaves.
11786,3508522093.jpg#1r1n,3508522093.jpg,a young skateboarder jumped into a pile of leaves.,neutral,This a young skateboarder in a pile of leaves. He appears to have fallen in and not jumped. There are not enough leave to jump in and the skateboard is at an odd angle.
2345,3149038044.jpg#3r1e,3149038044.jpg,The kids are playing football.,entailment,Kids and two children can be interchanged and they are playing football
11167,3149038044.jpg#2r1n,3149038044.jpg,two kids playing on fresh mowed grass.,contradiction,It is unclear whether the grass is fresh mowed.
10343,3149038044.jpg#3r1n,3149038044.jpg,The children are playing flag football inside.,neutral,The children are playing  football
3552,2446830166.jpg#2r1e,2446830166.jpg,A man stilts behind a woman,entailment,Basically a man stands on stilts behind a woman.
3544,2446830166.jpg#0r1c,2446830166.jpg,The street performer is a magician.,contradiction,The performer is either walking on stilts or a magician.
14070,2446830166.jpg#2r4n,2446830166.jpg,A circus performer and his girlfriend who is about to leave him,neutral,Girlfriend is not clear and no sign of leave him
4403,2256447557.jpg#1r1e,2256447557.jpg,Some people by the ocean.,entailment,"A family can be described as a group of people. If someone is on the beach, they would have to be by the ocean."
4398,2256447557.jpg#4r1c,2256447557.jpg,Four girls are in the mountains.,contradiction,Beach cannot be mountains simultaneously.
10870,2256447557.jpg#2r1n,2256447557.jpg,The women are sisters on vacation together.,neutral,do not know if the women are sisters or on vacation
11254,451547131.jpg#2r1n,451547131.jpg,The person is wearing a wetsuit.,entailment,The person in the picture is wearing a wetsuit.
3303,451547131.jpg#1r1c,451547131.jpg,A surfer is carrying his surfboard into his house.,contradiction,One cannot walk along the beach and into a house at the same time.
13414,451547131.jpg#0r1e,451547131.jpg,The waves are not large enough for surfing at this time of day.,neutral,It is unclear that the waves are not large enough for surfing.
1287,3311724634.jpg#0r1e,3311724634.jpg,The people are on the stage.,entailment,"A woman, guy, and a man are all types of people, since it is established that she is on the stage, that the guy and man are listed with her implies they are also on the stage."
1288,3311724634.jpg#1r1c,3311724634.jpg,The man is swimming alone in a pool.,contradiction,attack and swimming is different in action
12318,3311724634.jpg#3r1n,3311724634.jpg,A group of performers play cover songs of Fall Out Boy.,neutral,"The group of performers do seem like they are playing songs, we cannot infer from the image that they are playing cover songs of Fall Out Boy."
9021,6274918824.jpg#2r1e,6274918824.jpg,Someone is cooking.,entailment,an egg in front of a mixing bowl indicates cooking is happening or about to happen
9020,6274918824.jpg#2r1c,6274918824.jpg,A chef is cutting meat.,contradiction,cutting meat and holding egg are not the same.
13653,6274918824.jpg#2r1n,6274918824.jpg,Someone is going to make a cake.,neutral,"Someone is using ingredients that go into making a cake but it is not clear that, that is exactly what they are making."
3819,1961696686.jpg#0r5e,1961696686.jpg,A woman is bowling in a bowling alley.,entailment,A woman must be bowling to throw her bowling ball down the lane.
3820,1961696686.jpg#0r3c,1961696686.jpg,The woman is doing gymnastics,contradiction,One cannot be bowling and doing gymnastics simultaneously.
14005,1961696686.jpg#2r1n,1961696686.jpg,A woman bowls a strike.,neutral,"A women is getting ready to bowl, but we don't know if it will be a strike or not."
7625,69830857.jpg#3r1e,69830857.jpg,An individual walks outdoors.,entailment,an individual is a figure
7620,69830857.jpg#0r1c,69830857.jpg,A man having coffee seating on table.,contradiction,The man can't walk along and be seating on a table at the same time.
12519,69830857.jpg#0r1n,69830857.jpg,A person walking toward church.,neutral,"This is a picture of a person walking on a roadway. But there are no churches in sight, unless its behind that large mountain. This image is neutral because the question remains as to what is just beyond the mountain. There might possibly be a church or nothing at all."
3081,2503250992.jpg#1r1e,2503250992.jpg,There are some people outside.,entailment,customers in the street is a group of people. A man is cooking some food for them.
3522,2503250992.jpg#4r1c,2503250992.jpg,A person rubbing food all over themselves,contradiction,The vendor cannot possibly be preparing snacks while rubbing food on themselves
14057,2503250992.jpg#4r1n,2503250992.jpg,A seller preparing their homemade goods,neutral,The seller is preparing goods but it is unclear if it is homemade.
2937,2822418176.jpg#2r1e,2822418176.jpg,A man is doing woodwork.,entailment,Carving is a form of woodwork.
9193,2822418176.jpg#0r1c,2822418176.jpg,A woman with noise-cancelling headphones in a black t-shirt is using a chainsaw to sculpt a bird out of a tree stump.,contradiction,One can either be a man or a woman.
10380,2822418176.jpg#3r1n,2822418176.jpg,The man is making sculptures to sell.,neutral,The man is making a sculpture but we don't know why.
9427,6191516871.jpg#0r1e,6191516871.jpg,A man is wearing something.,entailment,The man is wearing blue.
249,6191516871.jpg#1r1c,6191516871.jpg,The group of soccer players celebrate their recent game.,contradiction,Martial arts is not soccer.
14011,6191516871.jpg#2r1n,6191516871.jpg,Students in uniform are about to enter a competition.,neutral,"There are students in uniforms, but it is unclear if they are about to enter a competition or not."
2769,1580159719.jpg#2r1e,1580159719.jpg,"Two street musicians are performing, surrounded by an audience.",entailment,Two guys are playing music is same as two street musicians are performing
2771,1580159719.jpg#3r1c,1580159719.jpg,It is silent on the lawn.,contradiction,It is not silent when there is guitar playing.
12178,1580159719.jpg#0r4n,1580159719.jpg,People are listening to music.,neutral,It is not clear if they are listening to music or just sitting.
5948,2875823162.jpg#3r1e,2875823162.jpg,The vehicle is heavy.,entailment,hard time pushing shows that the vehicle is heavy.
5947,2875823162.jpg#2r1c,2875823162.jpg,A duck sits in the water.,contradiction,water and bus are different places
9653,2875823162.jpg#4r1n,2875823162.jpg,He is heavy.,neutral,We cant assure that  He is heavy.
9634,2284894733.jpg#1r1n,2284894733.jpg,the dog is in the performance.,entailment,"There is a dog in the image, and it does seem to be at some kind of performance, like a dog show."
6701,2284894733.jpg#2r1c,2284894733.jpg,The cat is barking.,contradiction,The cat cannot be a dog barking.
3400,2284894733.jpg#0r1n,2284894733.jpg,The dog is competing with other dogs.,neutral,A dog running is not necessarily competing with other dogs.
10028,2904714989.jpg#3r1n,2904714989.jpg,The men are on a tennis team.,entailment,This is a group of men holding tennis rackets and appearing to be standing on a court as a team.
3462,2904714989.jpg#0r1c,2904714989.jpg,The women are playing softball.,contradiction,Playing softball is different than posing near a tennis net.
10207,2904714989.jpg#4r1n,2904714989.jpg,Tennis players all standing around a court waiting for the matches to begin.,neutral,no evidence of the matches not being already finished
13553,3449846784.jpg#3r1n,3449846784.jpg,a dog is outdoors playing,entailment,This is a dog playing outdoors.
390,3449846784.jpg#4r1n,3449846784.jpg,A black and white cat is playing with a white string.,contradiction,A dog is not simultaneously a cat.
384,3449846784.jpg#2r1n,3449846784.jpg,A black dog focuses on a ball that's been thrown.,neutral,Looks up does not imply focuses.
9277,3019776218.jpg#0r1e,3019776218.jpg,A person looking,entailment,Young boy is person.
6834,3019776218.jpg#3r1c,3019776218.jpg,A child is laying down next to the cat.,contradiction,A dog is not a cat.
10646,3019776218.jpg#2r1n,3019776218.jpg,boy calls mom,neutral,"The boy is using  a phone, but we don't know that he's calling his mom."
3226,2324581814.jpg#0r1e,2324581814.jpg,A man with two people hangs something inside.,entailment,Two others and two people are the same thing. Putting something up on a wall and hanging something inside are the same action.
3225,2324581814.jpg#3r1c,2324581814.jpg,A group of people are watching netflix together,contradiction,"The people are either nailing something or they are watching netflix, not both at the same time."
