image,caption
2365507630.jpg, A girl in a black hat with a pink flower on it plays the keyboard .
2365507630.jpg, A woman with a black t-shirt and hat is playing the keyboard .
2365507630.jpg, A girl is playing the keyboard with her band .
236557331.jpg, A man in a white shirt and a woman in a white blouse are spreading butter and jelly on their biscuits .
236557331.jpg, The people are preparing food to serve on paper plates on a wooden table .
236557331.jpg, A lone little girl surrounded by adults is eating cake .
236557331.jpg, A family prepares the dinner table for a party .
236557331.jpg, People setting up the table to eat .
236569968.jpg, Four individuals are sitting on a small dock by the water as a boat sails by .
236569968.jpg, A few people sitting on a pier looking at a lake .
236569968.jpg, A small group of people are sitting on a pier .
236569968.jpg, A small white boat is floating in the water .
236569968.jpg, A group of people sitting on a pier .
2365721660.jpg," The Screaming Orphans band performing live and advertising their new website for band information , tour dates , albums , new music videos ."
2365721660.jpg," An all-female band plays drums and guitar on a stage , in front of a banner reading "" Screaming Orphans . """
2365721660.jpg, A band on stage playing a song with a banner in the background that says Screaming Orphans .
2365721660.jpg, A band called Screaming Orphans is giving a concert .
2365721660.jpg, The band the screaming orphans playing .
2365727980.jpg," A two girl band entertains at this venue , the lead singer plays electric guitar and the other band member sings backup and plays keyboards ."
2365727980.jpg, We are singing the popular song for you all .
2365727980.jpg, a band with two females playing instruments
2365727980.jpg, Two women giving a musical performance .
2365727980.jpg, Women in a rock band perform on stage .
2365967839.jpg, Children drive colorful play cars at an amusement park with a little help from some adults .
2365967839.jpg, Kids are driving toy carts around a track with the assistance of parents .
2365967839.jpg, Kids race around a go-cart track with adult supervision .
2365967839.jpg, Adults are pushing kids in toy cars around a track .
2365967839.jpg, Children are riding in little cars .
2366020313.jpg, A young boy in an orange shirt and khaki pants points his toy at the camera while he stands in front of the fence .
2366020313.jpg, A little body in an orange shirt is holding a yellow sword and holding it toward the camera .
2366020313.jpg, A boy wearing a white hat and an orange shirt is pointing an object at the camera .
2366020313.jpg, A little boy wearing an orange shirt points at the camera with a yellow object .
2366020313.jpg, Child with a toy in his hand .
2366166967.jpg, This young man 's body contorts as the camera catches the motion of his soon-to-be goal .
2366166967.jpg, Barefoot boys play soccer in front of an African river with colorful boats .
2366166967.jpg, Four black children playing soccer near the shore .
2366166967.jpg, Young boys playing ball on the beach .
2366166967.jpg, Four African boys playing soccer .
2366292699.jpg, A man in a brown suit is speaking into a microphone while sitting down with his right foot up .
2366292699.jpg," A man is sitting in a chair with his foot propped up on a cabinet , talking into a microphone ."
2366292699.jpg, A man in a suit relaxes his right leg while speaking at a seminar for a Policy Summit .
2366292699.jpg, A balding man in a suit sitting on a chair with one leg raised speaking into a mic .
2366292699.jpg, A man in a suit sits on a chair while holding a microphone with his foot on a box .
2366296895.jpg," A man sits talking into a microphone in front of a sign , part of which says the word "" policy "" ."
2366296895.jpg, A man in a business suit sitting down and holding a microphone .
2366296895.jpg, A man in a suit is sitting and talking into a microphone .
2366296895.jpg, A man in a suit sits talking into a microphone .
2366296895.jpg, A man speaking about policy at a meeting .
2366306683.jpg, A man with white hair wearing a gray suit speaks into a microphone with a metal jug sitting in front of him .
2366306683.jpg, A man in a gray suit is talking in front of a microphone .
2366306683.jpg, A man in a business suit speaking into a microphone .
2366306683.jpg, A man is giving a speech standing at a podium .
2366306683.jpg, A man gives a presentation .
2366421102.jpg, A little girl is holding flowers in her right hand while examining others in her left hand .
2366421102.jpg, The girl wearing a pink shirt is picking flowers .
2366421102.jpg, A girl dressed in pink picks flowers .
2366421102.jpg, a girl wearing pink pulls weeds .
2366421102.jpg, A girl in pink picks flowers .
2366522060.jpg, A man 's head protrudes from one of a series of small shuttered windows set into a wall .
2366522060.jpg, A man is sticking his head out of a window looking downward .
2366522060.jpg, A man pokes his out of a small window .
2366522060.jpg, A man pokes his head out of a window .
2366522060.jpg, A man looking out a small window .
2366643786.jpg, Someone is playing hopscotch on a chalked out grid on the ground .
2366643786.jpg, Closeup of a pair of feet in mid jump while playing hopscotch .
2366643786.jpg, The legs of a child playing hopscotch .
2366643786.jpg, A child in denim playing hopscotch .
2366643786.jpg, The kid is playing hopscotch .
236680927.jpg," A man in a green shirt strums a guitar indoors for a small child , standing in a doorway , in overalls ."
236680927.jpg," A man in a green shirt , shorts and sandals plays an electric guitar for a curious toddler ."
236680927.jpg, A young child is watching a man play an electric guitar .
236680927.jpg, a black man plays the electric bass while a child watches
236680927.jpg, A small boy is watching a musician play guitar .
2366958894.jpg, Guy and girl looks at a person giving a speech while they are sitting down .
2366958894.jpg, Here is a picture of 2 men and a woman at a press conference or meeting .
2366958894.jpg, Two men and a woman are sitting at a table in front of microphones .
2366958894.jpg, Two businessmen and a woman at a convention speaking .
2366958894.jpg, Presenters speaking at conference .
2367139509.jpg, A dog with a red collar runs in a forest in the middle of winter .
2367139509.jpg, a brown and black dog running on a trail in the woods .
2367139509.jpg, A black and brown dog running outside .
2367139509.jpg, a doggy runs in the dry grass .
2367139509.jpg, A dog running down a hill .
236730743.jpg," With the sun reflecting off the water , a man is sitting in a boat and rowing ."
236730743.jpg, A person in a hat reaches with a paddle while sitting in a canoe on a lake .
236730743.jpg, A man is paddling a boat during a sunset .
236730743.jpg, A man rows his boat while the sun sets .
236730743.jpg, a man paddles his canoe on the lake .
2367317953.jpg, A woman carrying another woman wearing matching exercise attire on her back .
2367317953.jpg, There is a girl in a Puma jacket being hugged from behind by another girl .
2367317953.jpg, A female soccer player gives a teammate a piggyback ride .
2367317953.jpg, Two athletic girls in PUMA outfits hugging each other .
2367317953.jpg, The girl is hugging another girl outside .
2367318629.jpg, a few small children drapped with black cloaks and black hats with red trim .
2367318629.jpg, Four children in black and red hats and black clothes perform .
2367318629.jpg, Some children in black robes and black and red hats .
2367318629.jpg, Five children dressed in black cloaks and hats .
2367318629.jpg, five girls dressed alike
2367387854.jpg, A woman with short brown hair in glasses wearing a gray shirt sits in a chair and speaks into a microphone .
2367387854.jpg," A woman with dark hair wearing a dark shirt , jeans , and glasses is talking into a microphone ."
2367387854.jpg, A woman in a black shirt holds a microphone while sitting in a black desk chair .
2367387854.jpg, A woman sitting in chair discusses a topic into a microphone .
2367387854.jpg, A woman speaking into a microphone .
2367726871.jpg," A man in a white shirt , black cap and black shorts is playing tennis ."
2367726871.jpg, A man in a white shirt and blue shorts swinging a tennis racket .
2367726871.jpg, A man wearing a cap and white shirt playing tennis .
2367726871.jpg, A Tennis player in a black hat hitting the ball .
2367726871.jpg, A man hitting a tennis ball .
2367816288.jpg, Young boy in a brown shirt doing a back flip
2367816288.jpg, The boy does a flip over a grassy yard .
2367816288.jpg, A young man doing a flip on the grass .
2367816288.jpg, Boy doing cartwheels in backyard .
2367816288.jpg, A boy cuts a flip in the grass .
236788203.jpg," Three people in shorts , two shirtless are in front of an Asian storefront , one resting in a chair and the other two cleaning and watering ."
236788203.jpg, In front of an Asian market store one man rests in a chair while another man cleans .
236788203.jpg, Several people are outside of a fruit market on a hot day .
236788203.jpg, A kid is filling a bucket with water in chinatown .
236788203.jpg, Man in shorts filling a bucket .
2367949659.jpg, A young boy in a green shirt and blue pants is playing with a blue toy train on a wooden track .
2367949659.jpg, A young boy in a green shirt playing with a miniature train on an elevated train track .
2367949659.jpg, A small boy playing with a blue toy train on wooden toy train tracks .
2367949659.jpg, A toddler plays with his wooden toy train set .
2367949659.jpg, The young boy was playing with his train set .
2368008984.jpg, A toddler is smiling at a man that appears to be wearing a dark green sweater .
2368008984.jpg, A man holds a baby while they smile at each other .
2368008984.jpg, A dad smiling and laughing with his child .
2368008984.jpg, A man is laughing with a baby .
2368008984.jpg, A father and his son bonding .
236819162.jpg, A man carries two bundles on a pole balanced over his shoulder while walking down a staircase in the fog .
236819162.jpg, People are walking down the stairs through the fog .
236819162.jpg, A boy carries a large load down some stairs .
236819162.jpg, Men are walking down a set of stone steps .
236819162.jpg, A man walks down outside steps .
2368266191.jpg, A dog jumps by a tree while another lays on the ground .
2368266191.jpg, A dog leaps high in the air while another watches .
2368266191.jpg, A dog chases another by a tree .
2368266191.jpg, Two dogs are playing outside .
2368266191.jpg, Two dogs play by a tree .
2368321486.jpg, Puffy white clouds among a blue sky are above a group of four Native American Indians playing instruments for a crowd of people .
2368321486.jpg, A group of indians stand next to a streetlight in the daytime with clouds above them all .
2368321486.jpg, A person wearing a headdress stands among a crowd while people play instruments .
2368321486.jpg, A Native American cultural group performs music for a crowd .
2368321486.jpg, People are standing around a lamp at a town square .
2369248869.jpg, A large black and white dog is running through the water .
2369248869.jpg, A dog running through the water right toward the camera .
2369248869.jpg, There is a black dog running in a shallow river .
2369248869.jpg, a brown and black dog running through a river
2369248869.jpg, A dog is running through some water .
2369452202.jpg," A crowd of people is standing around a red , white and blue hot air balloon as it is readied to launch into the blue sky ."
2369452202.jpg, A crowd of people watch as a Remax hot air balloon gets ready to take off .
2369452202.jpg," people next to a red , white and blue hot air balloon that is on the grass"
2369452202.jpg, A hot air balloon just off the ground surrounded by people .
2369452202.jpg, A red hot air balloon lands in a field among a crowd .
2369809845.jpg, A man wearing a brown suit and glasses is taking into a microphone .
2369809845.jpg, A man in a brown suit is talking threw a microphone .
2369809845.jpg, A man in suit and tie is talking into a microphone .
2369809845.jpg, a man speaking directly into a microphone
2369809845.jpg, A man speaking with a microphone .
2369840118.jpg, The boy wearing the blue hooded top is holding a baby goat in his arms .
2369840118.jpg, A boy wearing a blue hood holds a baby animal and smiles .
2369840118.jpg, Young boy dressed in green holds baby goat in arms .
2369840118.jpg, A boy with a coat on his head holds a goat
2369840118.jpg, a boy holds a goat in his arms .
2370209156.jpg, A cast of men and women in colorful clothes are performing on a stage by jumping and dancing .
2370209156.jpg, A crowd of young adults jump in unison as part of a production .
2370209156.jpg, A dance crew jumping on stage with toes barely off the ground .
2370209156.jpg, A group of theater students are jumping in sequence on stage .
2370209156.jpg, A group of young people are performing on stage .
2370221025.jpg, A man wearing a green jacket is holding onto a baby in an orange bonnet .
2370221025.jpg, A small baby in winter clothing is being held upright to take a picture .
2370221025.jpg, A small child in winter gear is being held steady by an adult .
2370221025.jpg, A toddler girl wears a jacket and stands with a man .
2370221025.jpg, The small child is wearing winter clothes and a hat .
2370275359.jpg, Unhappy-looking people standing outside in a tightly-packed line against a yellow fence .
2370275359.jpg, A group of people huddled together behind a yellow gate .
2370275359.jpg, People in a crowd behind a yellow metal gate .
2370275359.jpg, A group of people behind yellow gates .
2370275359.jpg, A woman in a red hat waiting in line .
2370481277.jpg, A little boy in green is kicking a soccer ball and 6 boys in referee shirts are following him .
2370481277.jpg, A young boy kicks a soccer ball while six others play but are dressed as referee .
2370481277.jpg, Small children kick a soccer ball on a soccer field .
2370481277.jpg, A group of young boys playing soccer .
2370481277.jpg, Little boys play soccer on the field .
2371143807.jpg, Young blond girl in white shirt hanging holding a wooden structure .
2371143807.jpg, The girl in the white shirt hangs from a wooden structure .
2371143807.jpg, A girl in a white shirt hangs from a wooden structure .
2371143807.jpg, A young girl is climbing on a wooden structure .
2371143807.jpg, A girl hands from a wooden deck .
2371173787.jpg, Three boys in rollerblades sitting by a brown wall while the other boy skates on the wall .
2371173787.jpg, Three helmet-wearing roller-blading children are next to a skating young adult .
2371173787.jpg," Four kids rollerskating , one doing a trick ."
2371173787.jpg, Group of rollerskaters in a skate park .
2371173787.jpg, Kids watching a man skating .
2371201464.jpg," A girl in a red shirt and plaid hat , and a boy in a black sweatshirt and hat are in a playground , touching a blue seahorse ."
2371201464.jpg, Two young children are playing with a sit-atop seahorse in a playground with an adult .
2371201464.jpg," Two young children are in a park , playing with a horse ride ."
2371201464.jpg, Two children are playing on a playground .
2371201464.jpg, Children playing on a playground .
2371313211.jpg, A woman who is fixing her computer while showing her daughter what it is doing .
2371313211.jpg, A woman explains something about the inside of a computer to a young child .
2371313211.jpg, A woman points to the inside of a computer as a young girl looks on .
2371313211.jpg, A woman is pointing at a computer device for a young girl
2371313211.jpg, A woman showing a littler girl the inside of a computer
23714402.jpg, A person in a uniform waiting next to luggage near an open plane door with two other people in the background .
23714402.jpg, Three people stand next to the tail of an airplane that is decorated with tribal designs .
23714402.jpg, People standing outside an airplane with Native American art painted on the tail .
23714402.jpg, The captain is standing outside of an airliner .
23714402.jpg, Two women and an officer departing an airplane .
2371475978.jpg, Male wearing orange trunks on the water in a speedboat leaving the dock .
2371475978.jpg, A man in red bottoms standing while riding his motor powered raft .
2371475978.jpg, A man standing on his moving bout in the harbor .
2371475978.jpg, A man in red swim trunks on a boat in the water .
2371475978.jpg, A man in swim trunks is riding on a boat .
2371500738.jpg, A young boy in red is sleeping on a mattress with spiderman sheets .
2371500738.jpg, A little boy in red clothes takes a nap on a fold out kids couch .
2371500738.jpg, A young boy sleeping after playing with his friends .
2371500738.jpg, A child sleeps on a fold out spiderman chair .
2371500738.jpg, The boy is asleep on his Spiderman mat .
2371545499.jpg, A blond child dressed in red clothes and a blue helmet hangs their head over the handlebars of a blue bicycle .
2371545499.jpg, A little girl wearing a decorated helmet is slumped over a small two-wheel bike .
2371545499.jpg, A child in a red jumpsuit and blue helmet riding a bike .
2371545499.jpg, A person dressed in red is leaning over their bicycle .
2371545499.jpg, A child in a red jumpsuit is bending over a bicycle .
237168242.jpg, A man with a blue breathing mask and bandanna sitting in a chair outside a tent .
237168242.jpg," A man is reclining in a camping chair , smoking a cigarette through a dusk mask ."
237168242.jpg, A man smokes a cigarette through a dusk mask while sitting in a chair .
237168242.jpg, A male is sitting in a chair with a blue surgical mask on .
237168242.jpg, A man wearing a face mask sits near a tent and a trailer .
2371749487.jpg," Two young boys , the older pushing the younger in a jeep shaped wagon ."
2371749487.jpg, one child in a red toy car while another pushes him
2371749487.jpg, A boy pushes another child in a kid-sized car .
2371749487.jpg, A boy pushing a girl on a toy SUV .
2371749487.jpg, Two boys play on a toy car .
2371809188.jpg, A boy is climbing up a rock-climbing wall while an older boy stands on the ground
2371809188.jpg, Boy rock climbing on a blue wall while an adult looks away .
2371809188.jpg, Little boy climbing an indoor rock climbing wall .
2371809188.jpg, A boy climbs an indoor rock climbing wall .
2371809188.jpg, A boy climbs a rock wall .
2371988553.jpg, A man in blue pants and heavy work boots is cleaning white confetti from a street paved with bricks .
2371988553.jpg, A man in a work uniform using a tool to remove ice and snow .
2371988553.jpg, Man cleaning the street next to a car .
2371988553.jpg, A street washer washing the street .
2371988553.jpg, A worker cleaning a brick street .
2372047444.jpg, The cheerleading squad for a professional basketball team is performing a routine .
2372047444.jpg, The New York Knicks dancers performing a routine at Madison Square Garden .
2372047444.jpg, Group of cheerleaders in white dress dancing on a basketball court .
2372047444.jpg, The New York Knicks cheerleaders are performing during a game .
2372047444.jpg, A cheerleading squad performing at a New York Knicks game .
237212706.jpg, A man in a black vest tries to open the window of a white and yellow van .
237212706.jpg, Man sitting inside of a van looking out the window .
237212706.jpg, A man looking out of the window of a vehicle .
237212706.jpg, A man is looking outside his van .
237212706.jpg, A man looking out of his window .
2372262128.jpg," People in front of waterfront , 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water ."
2372262128.jpg, A small group of three enjoy the view of the water as a small boy wanders off and two companions enjoy a walk along the shoreline .
2372262128.jpg," Six people by body of water , all in jackets , three sitting on the dandelion-strewn ground ."
2372262128.jpg, Three people are sitting on green grass and three people are walking beside a body of water .
2372262128.jpg, A group of people sitting by a lake .
2372541545.jpg," A man in suspenders sits at a table at a booth , talking on a cellphone , while a few people peruse the items on the tables ."
2372541545.jpg," At a convention , a man takes a phone call behind the booth where he is selling things while others examine his merchandise ."
2372541545.jpg," A man with glasses , a green shirt and suspenders sits at a table selling books at a convention ."
2372541545.jpg," Man in green shirt with suspenders talking on the phone , while sitting at a table ."
2372541545.jpg, Consumers look over products at a trade show .
2372572028.jpg, A small child wearing a blue coat climbing into a red toy car .
2372572028.jpg, A little boy in a blue coat is climbing into a red play truck .
2372572028.jpg, a small boy in a blue jacket climbs into a power wheels vehicle
2372572028.jpg, A child climbs into a go-kart .
2372572028.jpg, A boy climbs into his toy car .
2372751425.jpg," An older white men wearing a black hat and yellow shirt looking down holding a cigarette , standing in a store with pictures on the walls and plaques on the table and floor ."
2372751425.jpg, A man in a white shit and beret amongst many gold items .
2372751425.jpg, A skilled gold worker works on his next piece of art .
2372751425.jpg, Man in room filled with fancy picture frames .
2372751425.jpg, An older man working on antiques
2372763106.jpg, A black greyhound dog is running on a track wearing the number six on a yellow jacket .
2372763106.jpg, A black dog wearing a yellow vest running in a competition .
2372763106.jpg, A black dog is completely off the ground while in a race .
2372763106.jpg, A race dog numbered six is midair .
2372763106.jpg, A black dog running in a race .
237277765.jpg, The girl in blue shorts is sitting on a broken tree stump .
237277765.jpg, A girl is sitting on a log in the middle of some trees .
237277765.jpg, A little girl squats on a tree stump in the woods .
237277765.jpg, A young girl sits on a tree stump in the woods .
237277765.jpg, The girl is sitting in the woods .
2372820502.jpg, A bunch of people are standing all together in a street with a building in the background .
2372820502.jpg, A blond woman in a blue jacket is holding up a pillow in a red pillowcase .
2372820502.jpg, A large crowd has a few people lifting pillowcases over their heads .
2372820502.jpg," people , outside , throwing stuff over the top of them ."
2372820502.jpg, People are engaged in a public pillow fight .
2373018323.jpg," With an urban landscape in the background and graffiti framing the scene , a young person in blue jeans and sneakers is upside-down doing a flip several feet in the air ."
2373018323.jpg, A young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti .
2373018323.jpg, A person is caught upside down in the air while in the midst of doing a flip .
2373018323.jpg, A man is doing a flip off a graffiti wall with a city in the background .
2373018323.jpg, A person is jumping in front of a city view and graffiti .
2373234213.jpg, The little boy jumps over another little boy on the trampoline .
2373234213.jpg, One boy jumps over another boy on a trampoline .
2373234213.jpg, A boy jumping over another boy on a trampoline .
2373234213.jpg, A boy jumps over another boy on a trampoline .
2373234213.jpg, Two boys jumping on a trampoline .
2373293667.jpg, A man wearing glasses and a woman wearing a black hat and dark sunglasses sit together on a subway train .
2373293667.jpg, Two men sitting in a bus the one guy is wearing eyeglass and the other guy is wearing a sungalsses
2373293667.jpg, A man in dark sunglasses and a black hat is sitting on a bus next to another person .
2373293667.jpg, A man with a black hat is looking pensively out the window of public transportation .
2373293667.jpg, Two people are sitting close together on a bus with a scratched window .
2373358061.jpg," A child wearing a green shirt is wearing a harness and is several feet in the air , supported by ropes , as others watch on ."
2373358061.jpg, An african-american boy is suspended above a crowd in front of a large number of boats .
2373358061.jpg, A boy is secured between two bungee cords and is suspended in air .
2373358061.jpg, A smiling boy near a lake is suspended by ropes as people watch .
2373358061.jpg, A boy bounces on a trampoline .
2373370266.jpg, A blond child holding a sword and dressed in a black robe is standing next to a stroller .
2373370266.jpg, A little boy in a samurai costume holds a toy sword as he stands in front of a stroller .
2373370266.jpg," A blond little boy , wearing a robe and playing with a sword ."
2373370266.jpg, A child standing by a stroller and holding a toy sword .
2373370266.jpg, A boy in a black cloak with a fake sword .
2373790865.jpg, A woman in a black coat and carrying a yellow shopping bag is looking on while an older woman is pushing a wheeled shopping cart in a city .
2373790865.jpg, An old woman in a long coat with a small cart crosses the street while another woman smoking a cigarette watches .
2373790865.jpg," A woman in black holds a cigarette and a shopping bag , while an older woman crosses the street ."
2373790865.jpg, A woman is rolling her grocery cart across the street .
2373790865.jpg, A woman pushing a cart strolls through a crosswalk .
2373932560.jpg, Man dressed in a Winter coat and a hat steps out of his bright red car .
2373932560.jpg, Man with ball cap getting out of a red sports car .
2373932560.jpg, A man getting out of an older looking orange car .
2373932560.jpg, A man is leaving his orange car .
2373932560.jpg, A man is getting into a red car .
2374179071.jpg, A man is standing on some rocks and casting a fishing line into the ocean
2374179071.jpg," A man looks at the sunset and the ocean , seen in silhouette ."
2374179071.jpg, a lone man casting a fishing line into the water at sunset .
2374179071.jpg, Person fishing in large body of water with low sunlight .
2374179071.jpg, A man is fishing in the ocean at dusk .
2374180609.jpg, A bald man wearing a plaid shirt welds together a yellow car .
2374180609.jpg, Man in plaid welding something with eye protection on .
2374180609.jpg, Skilled worker in plaid shirt works with welder .
2374180609.jpg, A man welds in a yellow car .
2374180609.jpg, Mechanic fixing yellow car .
237424188.jpg," A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk , while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her ."
237424188.jpg," A girl in black sitting on the floor in a dorm doing classwork , and a girl in a red shirt doing work on the computer ."
237424188.jpg, Two college girls are in their dorm looking bored while studying .
237424188.jpg," In this picture , there are two college girls studying ."
237424188.jpg, Two white girls studying in a dorm room .
2374247382.jpg, A toddler is sitting on a wooden horse and smiling .
2374247382.jpg, a young blond boy sitting on a wooden rocky horse .
2374247382.jpg, A small boy rides a wooden toy and smiles .
2374247382.jpg, The child is on a wooden rocking horse .
2374247382.jpg, A child rides a wooden horse .
2374289148.jpg," A woman with curly hair in a black jacket , black pants and black heeled boots walks down the street ."
2374289148.jpg, A woman dressed in black boots and a black trench coat is walking down the middle of the street .
2374289148.jpg, A block haired lady wearing a long black coat and high heel boots walking in a city .
2374289148.jpg, A woman walks down the street dressed in a black coat and black boots .
2374289148.jpg, A woman is walking down a street .
2374319960.jpg, A blond woman kneels on the floor as she works on a piece of pottery on a pottery wheel .
2374319960.jpg, A blond woman in an apron with cherries on it is spinning a pot on a potter 's wheel .
2374319960.jpg, A woman in a white T-shirt and red pepper apron working at a potters wheel .
2374319960.jpg, A woman is making pottery using her potter 's wheel .
2374319960.jpg, A woman is forming clay on a pottery well .
2374382816.jpg," two kids , one with green pants and the other with a white shirt and jeans are running down a street ."
2374382816.jpg, Two children are running down the sidewalk in front of a building .
2374382816.jpg, Two children run up the street on the sidewalk near the building .
2374382816.jpg, Two children are running down a sidewalk in front of a building .
2374382816.jpg, Two children running on the sidewalk along side the street .
2374523052.jpg," A guy with afro hair , gray sweater and jeans , skating on a skating ramp high up on the side touching grass ."
2374523052.jpg, A guy with curly hair is skateboarding along a gray ramp with yellow letters .
2374523052.jpg, A long-haired man wearing a gray hoodie skateboards above some graffiti .
2374523052.jpg, One guy skateboarding on a cement curb with his hands in the air .
2374523052.jpg, a skateboarder doing a trick
2374570771.jpg, a black and white colored dog jumping around in a body of water .
2374570771.jpg, A brown and white dog is running through the river .
2374570771.jpg, A dog runs through a creek and spashes water .
2374570771.jpg, a dog runs through the water .
2374570771.jpg, A dog emerging from a lake .
2374652725.jpg, A tall white dog sits and watches a small black dog run around him in the snow .
2374652725.jpg, A large white dog watching a little black dog run in the snow .
2374652725.jpg, A big white dog and a small black dog sit in the snow .
2374652725.jpg, A white dog looks at a black puppy in the snow .
2374652725.jpg, A small dog and a large dog in the snow .
2374710187.jpg, A blond woman with sunglasses on her head is laughing while carrying a white jacket .
2374710187.jpg, A young blond woman wearing sunglasses on top of her head is laughing .
2374710187.jpg, A woman in a black shirt holding a white coat laughing .
2374710187.jpg, Laughing is good for everyone .
2374710187.jpg, A blond woman is laughing
2375282125.jpg, A blond woman sitting in a waiting room reading a magazine article while a young man smiles in the background .
2375282125.jpg, A woman sits in a waiting room reading a magazine depicting a scantily-clad man and woman .
2375282125.jpg, A woman with blond-hair is sitting in a waiting room reading a magazine .
2375282125.jpg, A blond woman passes time in a waiting room by reading a magazine .
2375282125.jpg, A blond woman is reading a magazine .
2375402652.jpg, A man in a red jacket and blue scarf slips on his shoe near a doorway .
2375402652.jpg," One male with a blue scarf around his neck , putting his shoe on ."
2375402652.jpg, A man wearing a red coat and a blue scarf sitting indoors .
2375402652.jpg, Somebody putting a shoe on and leaving in a hurry .
2375402652.jpg, A male pulling his shoe onto his foot .
237547381.jpg, A white dog and a black dog holding a toy between them in their mouths .
237547381.jpg, A black dog and a white dog are outside playing with a pull toy .
237547381.jpg, a black and a white dog play with a rope toy in a backyard
237547381.jpg, A black dog and a yellow dog play with a toy .
237547381.jpg, Two dogs wrestle with a toy in the backyard .
2375770917.jpg, A grocery store worker is pushing fourteen shopping carts against a white wall .
2375770917.jpg, A man in an apron is pushing a large amount of shopping carts .
2375770917.jpg, A grocery store worker is pushing several baskets at once .
2375770917.jpg, A man pushes multiple shopping carts across a parking lot .
2375770917.jpg, Grocery staff member gathering carts in the parking lot .
2375872999.jpg," A white-haired , bearded man stands leans against a low wall next to a red cylinder reading "" clearance . """
2375872999.jpg, A older man sitting in front of what appears to be a doorway .
2375872999.jpg, An Arabic man sitting down looking off into the distance .
2375872999.jpg, A man sits outside looking off into the distance .
2375872999.jpg, An african american man is sitting .
2375924666.jpg, A brown dog in front of a white fence with a blue and red bat-shaped object in its mouth .
2375924666.jpg, A brown dog is playing with a blue and red bat in his mouth .
2375924666.jpg, A brown dog plays with a toy bat hanging out its mouth .
2375924666.jpg," A long-haired dog is playing with a small , blue bat ."
2375924666.jpg, A brown dog holding a foam bat aiming for a ball .
2375981973.jpg," An older man squatting outside , holding a cup , with a plate of food , personal bag , and walking stick next to him ."
2375981973.jpg, An old man in a white shirt is squatting on a stone path with a cup in his hands .
2375981973.jpg, An old man is sitting in front of a plate of food on the ground .
2375981973.jpg, A dark-skinned man squats in front of a plate of food .
2375981973.jpg," Old man squatting with food , bag and stick ."
2376252671.jpg," A man dressed in black , is carrying a table across a large empty looking hall ."
2376252671.jpg, A man wearing black is moving a table top in an empty room .
2376252671.jpg, A man in black rolling a round table across a floor .
2376252671.jpg, A man is rolling a circular table across the floor .
2376252671.jpg, A man puts away a table .
2376413845.jpg, A woman in a pink shirt is sitting on a rail talking on a cellphone while a couple in business wear is enjoying a lunch .
2376413845.jpg, A woman is talking on her cellphone while a couple id sitting at a restaurant .
2376413845.jpg, People outside on the company patio talking on a cellphone and taking a break .
2376413845.jpg, A woman talking on her cellphone and two people ordering a meal .
2376413845.jpg, chilling in front of a nice starbucks .
237650533.jpg, Seven young Asian women in identical purple evening dresses and two young Asian men sit in a hallway .
237650533.jpg," A group of Asian girls , dressed in maroon gowns , are sitting in a lobby ."
237650533.jpg, Girls in purple Asian dresses sitting in chairs in a formal setting .
237650533.jpg, The dressed up young people are sitting in chairs while they wait .
237650533.jpg, People sitting in chairs waiting for something .
2376694294.jpg," A boy in a swimming pool , wearing goggles , gives the "" two thumbs up "" sign ."
2376694294.jpg, A boy with a crew cut and goggles gives the thumbs up sign in a pool of water .
2376694294.jpg, The boy in the water with the yellow goggles gives two thumbs up .
2376694294.jpg, a young boy wearing a yellow scubba mask giving the thumbs up
2376694294.jpg, a boy wearing a snorkeling mask gives two thumbs up in a pool
2376878930.jpg, A small boy runs barefoot on a concrete surface while holding a racket .
2376878930.jpg, A child holding a tennis racquet running on a tennis court .
2376878930.jpg, A young boy playing tennis on a wet court with no shoes .
2376878930.jpg, A child runs barefoot across a blacktop parking lot .
2376878930.jpg, Boy running along court with tennis racket .
23770160.jpg," Guy with long brown , curly hair and eyeglasses , playing guitar , sitting on grass , wearing striped shirt and blue jeans ."
23770160.jpg, A long dark-haired man sitting on the grass with a guitar in his lap in front of a blue sky .
23770160.jpg, A long-haired man in a striped shirt sits on the grass and plays acoustic guitar .
23770160.jpg, A man plays a guitar while he sits on the grass .
23770160.jpg, A man with long hair is playing the guitar .
237726613.jpg, A woman with short hair and sunglasses is sitting behind a glass partition in the entryway of a building .
237726613.jpg, A woman with dark hair and black sunglasses is leaning against a wooden brown wall .
237726613.jpg, A woman is sitting against a brown house with the numbers 4315 on it .
237726613.jpg, A woman with sunglasses is leaning against a brown building
237726613.jpg, A woman sitting against a wall behind a pane of glass .
2377460540.jpg, A weimaraner dog runs through the woods wearing a red collar .
2377460540.jpg, A dog running through a forest in the winter time
2377460540.jpg, A brown dog running through the woods .
2377460540.jpg, A lean dog runs through a wooded area .
2377460540.jpg, A dog running through a lot of twigs .
2377496811.jpg, There are two guys on motorcycles while a crowd watches on behind a barricade .
2377496811.jpg, Motorcycle stunt performer prepares for his next trick as the crowd looks on .
